Ref,Val,Package,PosX,PosY,Rot,Side
"","","",-19.725000,28.400000,0.000000,top
"","","",5.730000,-11.550000,0.000000,top
"D1","QBLP631-IB","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder_SmallSilk",-9.750000,-21.825000,25.000000,top
"D2","QBLP631-IB","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder_SmallSilk",-13.700000,-22.400000,140.000000,top
"D3","QBLP631-IB","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder_SmallSilk",-15.950000,-19.975000,-60.000000,top
"D4","QBLP631-IB","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallSilk",-22.300000,3.100000,100.000000,top
"D5","QBLP631-IB","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallSilk",-23.799950,15.400000,94.000000,top
"D6","QBLP631-IG","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder_SmallSilk",-17.400000,30.200000,160.000000,top
"D7","~","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder_SmallSilk",-0.600000,16.700000,-45.000000,top
"D8","QBLP631-AG","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder_SmallSilk",3.900000,12.500000,135.000000,top
"D9","QBLP631-Y","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder_SmallSilk",12.800000,3.800000,135.000000,top
"D10","QBLP631-O","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder_SmallSilk",18.100000,-1.400000,135.000000,top
"D11","QBLP631-R","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder_SmallSilk",21.100000,-4.400000,-45.000000,top
"D12","QBLP631-S3","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder_SmallSilk",22.500000,-7.200000,24.500000,top
"D13","QBLP675-IW-WW","LED_SMD3012",4.500000,2.250000,67.000000,top
"D14","QBLP675-IW-NW","LED_SMD3012",0.724510,0.697260,75.000000,top
"D15","QBLP675-IW-CW","LED_SMD3012",-3.220690,-2.445160,93.000000,top
"D16","QBLP661-IW5-CW","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder_SmallSilk",-6.027890,-5.305180,-60.000000,top
